,robot,Name_C,SNR_C,SUB,P_name,Curr_A1_LQ,Curr_A2_LQ,Curr_A3_LQ,Curr_A4_LQ,Curr_A5_LQ,Curr_A6_LQ,Curr_E1_LQ,Curr_A1_HQ,Curr_A2_HQ,Curr_A3_HQ,Curr_A4_HQ,Curr_A5_HQ,Curr_A6_HQ,Curr_E1_HQ,size,QH1,QL1,QH2,QL2,QH3,QL3,QH4,QL4,QH5,QL5,QH6,QL6,QH7,QL7
47,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,101,/R1/DAI_STUDWELD_MAIN.SRC,PWLD,-13.6790276,-6.07204437,-18.7792778,-7.9870224,-0.622749329,-6.05773926,0.0,2.42805481,27.7643204,21.6574669,8.80909,2.68745422,12.834549,0.0,17,2.32805481,13.5790276,27.664320399999998,5.972044370000001,21.557466899999998,18.679277799999998,8.70909,7.8870224,2.5874542199999997,0.522749329,12.734549000000001,5.95773926,0.0,0.0
48,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,115,,XLHP015,-4.84275818,-1.29699707,10.1718903,-2.16674805,-1.94168091,-6.83689117,0.0,-1.77288055,22.6545334,23.1924057,4.66060638,0.692367554,0.494003296,0.0,4,0.0,4.74275818,22.554533399999997,1.1969970699999999,23.092405699999997,0.0,4.56060638,2.0667480499999997,0.5923675540000001,1.84168091,0.39400329599999995,6.736891170000001,0.0,0.0
49,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,126,,XLHP016,-3.79323959,44.4355,-17.0087814,-4.16946411,-1.61743164,-4.32777405,0.0,0.856876373,60.0390434,5.6385994,0.302314758,0.254631042,1.61170959,0.0,6,0.756876373,3.69323959,59.939043399999996,0.0,5.538599400000001,16.9087814,0.202314758,4.06946411,0.15463104199999997,1.5174316399999999,1.51170959,4.227774050000001,0.0,0.0
50,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,126,,XLHP016,-3.79323959,44.4355,-17.0087814,-4.16946411,-1.61743164,-4.32777405,0.0,0.856876373,60.0390434,5.6385994,0.302314758,0.254631042,1.61170959,0.0,6,0.756876373,3.69323959,59.939043399999996,0.0,5.538599400000001,16.9087814,0.202314758,4.06946411,0.15463104199999997,1.5174316399999999,1.51170959,4.227774050000001,0.0,0.0
51,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,137,/R1/DAI_STUDWELD_MAIN.SRC,XLHP020,-15.4719353,-48.85149,-6.82020187,-4.42886353,0.253677368,-5.22041321,0.0,-2.32744217,33.4401131,2.60591507,-1.6746521,32.6528549,-0.218391418,0.0,24,0.0,15.3719353,33.340113099999996,48.75149,2.50591507,6.72020187,0.0,4.3288635300000005,32.5528549,0.0,0.0,5.120413210000001,0.0,0.0
52,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,137,/R1/DAI_STUDWELD_MAIN.SRC,XLHP020,-15.4719353,-48.85149,-6.82020187,-4.42886353,0.253677368,-5.22041321,0.0,-2.32744217,33.4401131,2.60591507,-1.6746521,32.6528549,-0.218391418,0.0,24,0.0,15.3719353,33.340113099999996,48.75149,2.50591507,6.72020187,0.0,4.3288635300000005,32.5528549,0.0,0.0,5.120413210000001,0.0,0.0
53,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,148,/R1/DAI_STUDWELD_MAIN.SRC,XLHP025,-6.65998459,-30.667305,-0.152587891,-2.16007233,-6.21509552,-17.0497894,0.0,23.9768028,-4.64916229,3.50999832,16.0236359,11.7235184,-3.11470032,0.0,7,23.8768028,6.55998459,0.0,30.567304999999998,3.4099983199999997,0.052587891,15.923635899999999,2.06007233,11.6235184,6.115095520000001,0.0,16.9497894,0.0,0.0
54,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,148,/R1/DAI_STUDWELD_MAIN.SRC,XLHP025,-6.65998459,-30.667305,-0.152587891,-2.16007233,-6.21509552,-17.0497894,0.0,23.9768028,-4.64916229,3.50999832,16.0236359,11.7235184,-3.11470032,0.0,7,23.8768028,6.55998459,0.0,30.567304999999998,3.4099983199999997,0.052587891,15.923635899999999,2.06007233,11.6235184,6.115095520000001,0.0,16.9497894,0.0,0.0
55,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,158,/R1/DAI_STUDWELD_MAIN.SRC,PWLD,-7.82299042,-11.7850304,6.47926331,-1.12533569,-7.92694092,-11.7836,0.0,23.1399536,25.1569748,18.6591148,12.7754211,2.76756287,5.15842438,0.0,6,23.039953599999997,7.72299042,25.0569748,11.6850304,18.5591148,0.0,12.675421100000001,1.02533569,2.66756287,7.82694092,5.05842438,11.6836,0.0,0.0
56,AS33_020RB_400,/R1/SDB_020R4_020_V178_01.SRC,183,/R1/DAI_STUDWELD_MAIN.SRC,XLHP035,-13.3395195,8.08429718,11.7282867,-18.0206299,-10.184288,17.0125961,0.0,-4.0678978,19.1273689,14.8653984,-9.43851471,-3.97491455,37.9085541,0.0,10,0.0,13.2395195,19.0273689,0.0,14.7653984,0.0,0.0,17.920629899999998,0.0,10.084288,37.8085541,0.0,0.0,0.0
